checkpoint_mode,target_family,target,parameter_group,parameter_group_base,parameter_tensor_count,requires_grad_tensor_count,classification,connected_tensor_count,unused_tensor_count,finite_gradient_tensor_count,nonzero_gradient_tensor_count,gradient_l1_norm,gradient_l2_norm,maximum_absolute_gradient
frame_local_only,native,native/joint/native_margin_support_minus_not_entitled,frame_local_only:other_trainable,other_trainable,0,0,DISCONNECTED,0,0,0,0,0.0,0.0,0.0
joint,native,native/joint/native_margin_support_minus_refute,joint:frozen_backbone,frozen_backbone,242,0,DISCONNECTED,0,0,0,0,0.0,0.0,0.0
joint,native,native/joint/native_margin_support_minus_refute,joint:frame_branch,frame_branch,10,10,CONNECTED_NONZERO,10,0,10,10,5265.62841796875,43.85297775268555,11.093040466308594
joint,native,native/joint/native_margin_support_minus_refute,joint:predicate_branch,predicate_branch,10,10,CONNECTED_NONZERO,10,0,10,10,1559.9229736328125,12.131818771362305,2.347503900527954
joint,native,native/joint/native_margin_support_minus_refute,joint:sufficiency_branch,sufficiency_branch,6,6,CONNECTED_NONZERO,6,0,6,6,34.796966552734375,0.36369895935058594,0.03881458193063736
joint,native,native/joint/native_margin_support_minus_refute,joint:polarity_branch,polarity_branch,8,8,CONNECTED_NONZERO,8,0,8,8,105.65899658203125,1.9620000123977661,0.5295250415802002
joint,native,native/joint/native_margin_support_minus_refute,joint:entitlement_or_decision_branch,entitlement_or_decision_branch,2,2,CONNECTED_ZERO_AT_OBSERVED_BATCH,2,0,2,0,0.0,0.0,0.0
joint,native,native/joint/native_margin_support_minus_refute,joint:final_composer,final_composer,2,2,DISCONNECTED,0,2,0,0,0.0,0.0,0.0
joint,native,native/joint/native_margin_support_minus_refute,joint:router_or_selector,router_or_selector,0,0,DISCONNECTED,0,0,0,0,0.0,0.0,0.0
joint,native,native/joint/native_margin_support_minus_refute,joint:other_trainable,other_trainable,0,0,DISCONNECTED,0,0,0,0,0.0,0.0,0.0
frame_local_only,native,native/joint/native_margin_support_minus_refute,frame_local_only:frozen_backbone,frozen_backbone,242,0,DISCONNECTED,0,0,0,0,0.0,0.0,0.0
frame_local_only,native,native/joint/native_margin_support_minus_refute,frame_local_only:frame_branch,frame_branch,10,10,DISCONNECTED,0,10,0,0,0.0,0.0,0.0
frame_local_only,native,native/joint/native_margin_support_minus_refute,frame_local_only:predicate_branch,predicate_branch,10,10,DISCONNECTED,0,10,0,0,0.0,0.0,0.0
frame_local_only,native,native/joint/native_margin_support_minus_refute,frame_local_only:sufficiency_branch,sufficiency_branch,6,6,DISCONNECTED,0,6,0,0,0.0,0.0,0.0
frame_local_only,native,native/joint/native_margin_support_minus_refute,frame_local_only:polarity_branch,polarity_branch,8,8,DISCONNECTED,0,8,0,0,0.0,0.0,0.0
frame_local_only,native,native/joint/native_margin_support_minus_refute,frame_local_only:entitlement_or_decision_branch,entitlement_or_decision_branch,2,2,DISCONNECTED,0,2,0,0,0.0,0.0,0.0
frame_local_only,native,native/joint/native_margin_support_minus_refute,frame_local_only:final_composer,final_composer,2,2,DISCONNECTED,0,2,0,0,0.0,0.0,0.0
frame_local_only,native,native/joint/native_margin_support_minus_refute,frame_local_only:router_or_selector,router_or_selector,0,0,DISCONNECTED,0,0,0,0,0.0,0.0,0.0
frame_local_only,native,native/joint/native_margin_support_minus_refute,frame_local_only:other_trainable,other_trainable,0,0,DISCONNECTED,0,0,0,0,0.0,0.0,0.0
joint,native,native/joint/native_margin_refute_minus_not_entitled,joint:frozen_backbone,frozen_backbone,242,0,DISCONNECTED,0,0,0,0,0.0,0.0,0.0
joint,native,native/joint/native_margin_refute_minus_not_entitled,joint:frame_branch,frame_branch,10,10,CONNECTED_NONZERO,10,0,10,10,2217.396484375,18.518190383911133,4.808286666870117
joint,native,native/joint/native_margin_refute_minus_not_entitled,joint:predicate_branch,predicate_branch,10,10,CONNECTED_NONZERO,10,0,10,10,642.936767578125,4.906552314758301,0.9506285190582275
