seed,analysis_view,population,propagation_category,count,denominator,rate,frame_up_count,frame_down_count,frame_fail_to_pass_count,frame_pass_to_fail_count,frame_up_predicate_positive_fraction,frame_up_entitlement_positive_fraction,frame_up_margin_improved_fraction,selected_support_propagation_fraction,tail3_stable_support_propagation_fraction,rescue_count,harm_count,persistent_failure_count,spearman_frame_predicate,spearman_frame_entitlement,spearman_frame_final_margin,sign_concordance_frame_entitlement,sign_concordance_frame_final_margin
183,selected,intervention_persistent_support_to_not_entitled,POLARITY_BLOCKED,0,0,,0,31,0,7,,,,,,0,29,31,0.8201612903225807,0.927016129032258,0.9294354838709677,1.0,1.0
183,selected,intervention_persistent_support_to_not_entitled,ENTITLEMENT_AGGREGATION_BLOCKED,0,0,,0,31,0,7,,,,,,0,29,31,0.8201612903225807,0.927016129032258,0.9294354838709677,1.0,1.0
183,selected,intervention_persistent_support_to_not_entitled,FINAL_COMPOSITION_BLOCKED,0,0,,0,31,0,7,,,,,,0,29,31,0.8201612903225807,0.927016129032258,0.9294354838709677,1.0,1.0
183,selected,intervention_persistent_support_to_not_entitled,MULTI_CHANNEL_DEGRADATION,0,0,,0,31,0,7,,,,,,0,29,31,0.8201612903225807,0.927016129032258,0.9294354838709677,1.0,1.0
183,selected,intervention_persistent_support_to_not_entitled,PROPAGATED_TO_SUPPORT,0,0,,0,31,0,7,,,,,,0,29,31,0.8201612903225807,0.927016129032258,0.9294354838709677,1.0,1.0
183,selected,intervention_persistent_support_to_not_entitled,UNRESOLVED_PROPAGATION,0,0,,0,31,0,7,,,,,,0,29,31,0.8201612903225807,0.927016129032258,0.9294354838709677,1.0,1.0
183,selected,baseline_defined_stable_correct_support_controls,FRAME_REMAINS_SUBTHRESHOLD,0,23,0.0,23,29,2,22,0.13043478260869565,0.6086956521739131,0.5652173913043478,1.0,,0,29,31,0.7618884999573123,0.9211986681465039,0.9176982839579954,0.8269230769230769,0.8076923076923077
183,selected,baseline_defined_stable_correct_support_controls,PREDICATE_BLOCKED,0,23,0.0,23,29,2,22,0.13043478260869565,0.6086956521739131,0.5652173913043478,1.0,,0,29,31,0.7618884999573123,0.9211986681465039,0.9176982839579954,0.8269230769230769,0.8076923076923077
183,selected,baseline_defined_stable_correct_support_controls,SUFFICIENCY_BLOCKED,0,23,0.0,23,29,2,22,0.13043478260869565,0.6086956521739131,0.5652173913043478,1.0,,0,29,31,0.7618884999573123,0.9211986681465039,0.9176982839579954,0.8269230769230769,0.8076923076923077
183,selected,baseline_defined_stable_correct_support_controls,POLARITY_BLOCKED,0,23,0.0,23,29,2,22,0.13043478260869565,0.6086956521739131,0.5652173913043478,1.0,,0,29,31,0.7618884999573123,0.9211986681465039,0.9176982839579954,0.8269230769230769,0.8076923076923077
183,selected,baseline_defined_stable_correct_support_controls,ENTITLEMENT_AGGREGATION_BLOCKED,0,23,0.0,23,29,2,22,0.13043478260869565,0.6086956521739131,0.5652173913043478,1.0,,0,29,31,0.7618884999573123,0.9211986681465039,0.9176982839579954,0.8269230769230769,0.8076923076923077
183,selected,baseline_defined_stable_correct_support_controls,FINAL_COMPOSITION_BLOCKED,0,23,0.0,23,29,2,22,0.13043478260869565,0.6086956521739131,0.5652173913043478,1.0,,0,29,31,0.7618884999573123,0.9211986681465039,0.9176982839579954,0.8269230769230769,0.8076923076923077
183,selected,baseline_defined_stable_correct_support_controls,MULTI_CHANNEL_DEGRADATION,3,23,0.13043478260869565,23,29,2,22,0.13043478260869565,0.6086956521739131,0.5652173913043478,1.0,,0,29,31,0.7618884999573123,0.9211986681465039,0.9176982839579954,0.8269230769230769,0.8076923076923077
183,selected,baseline_defined_stable_correct_support_controls,PROPAGATED_TO_SUPPORT,20,23,0.8695652173913043,23,29,2,22,0.13043478260869565,0.6086956521739131,0.5652173913043478,1.0,,0,29,31,0.7618884999573123,0.9211986681465039,0.9176982839579954,0.8269230769230769,0.8076923076923077
