subtype,seed,transition_role,path_class,direction,variant,identity_count,donor_tail_reproduced_count,donor_tail_reproduced_rate,recipient_tail_preserved_count,recipient_tail_preserved_rate
RECOVERY_SEED184_MULTI_CHANNEL_CONFLICT,184,recovery,MULTI_CHANNEL_CONFLICT,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,POLARITY_ONLY,5,0,0.0,5,1.0
RECOVERY_SEED184_MULTI_CHANNEL_CONFLICT,184,recovery,MULTI_CHANNEL_CONFLICT,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,PREDICATE_ONLY,5,0,0.0,3,0.6
RECOVERY_SEED184_MULTI_CHANNEL_CONFLICT,184,recovery,MULTI_CHANNEL_CONFLICT,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,SUFFICIENCY_ONLY,5,0,0.0,5,1.0
RECOVERY_SEED184_MULTI_CHANNEL_CONFLICT,184,recovery,MULTI_CHANNEL_CONFLICT,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,ENTITLEMENT_PLUS_POLARITY,5,5,1.0,0,0.0
RECOVERY_SEED184_MULTI_CHANNEL_CONFLICT,184,recovery,MULTI_CHANNEL_CONFLICT,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,ENTITLEMENT_PRIMITIVES,5,5,1.0,0,0.0
RECOVERY_SEED184_MULTI_CHANNEL_CONFLICT,184,recovery,MULTI_CHANNEL_CONFLICT,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,FRAME_ONLY,5,3,0.6,0,0.0
RECOVERY_SEED184_MULTI_CHANNEL_CONFLICT,184,recovery,MULTI_CHANNEL_CONFLICT,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,POLARITY_ONLY,5,0,0.0,5,1.0
RECOVERY_SEED184_MULTI_CHANNEL_CONFLICT,184,recovery,MULTI_CHANNEL_CONFLICT,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,PREDICATE_ONLY,5,0,0.0,3,0.6
RECOVERY_SEED184_MULTI_CHANNEL_CONFLICT,184,recovery,MULTI_CHANNEL_CONFLICT,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,SUFFICIENCY_ONLY,5,0,0.0,5,1.0
RECOVERY_SEED185_FRAME_ENTITLEMENT_GAIN,185,recovery,FRAME_ENTITLEMENT_GAIN,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,ENTITLEMENT_PLUS_POLARITY,2,2,1.0,0,0.0
RECOVERY_SEED185_FRAME_ENTITLEMENT_GAIN,185,recovery,FRAME_ENTITLEMENT_GAIN,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,ENTITLEMENT_PRIMITIVES,2,2,1.0,0,0.0
RECOVERY_SEED185_FRAME_ENTITLEMENT_GAIN,185,recovery,FRAME_ENTITLEMENT_GAIN,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,FRAME_ONLY,2,1,0.5,0,0.0
RECOVERY_SEED185_FRAME_ENTITLEMENT_GAIN,185,recovery,FRAME_ENTITLEMENT_GAIN,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,POLARITY_ONLY,2,0,0.0,2,1.0
RECOVERY_SEED185_FRAME_ENTITLEMENT_GAIN,185,recovery,FRAME_ENTITLEMENT_GAIN,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,PREDICATE_ONLY,2,0,0.0,0,0.0
RECOVERY_SEED185_FRAME_ENTITLEMENT_GAIN,185,recovery,FRAME_ENTITLEMENT_GAIN,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,SUFFICIENCY_ONLY,2,0,0.0,2,1.0
RECOVERY_SEED185_FRAME_ENTITLEMENT_GAIN,185,recovery,FRAME_ENTITLEMENT_GAIN,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,ENTITLEMENT_PLUS_POLARITY,2,2,1.0,0,0.0
RECOVERY_SEED185_FRAME_ENTITLEMENT_GAIN,185,recovery,FRAME_ENTITLEMENT_GAIN,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,ENTITLEMENT_PRIMITIVES,2,2,1.0,0,0.0
RECOVERY_SEED185_FRAME_ENTITLEMENT_GAIN,185,recovery,FRAME_ENTITLEMENT_GAIN,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,FRAME_ONLY,2,0,0.0,0,0.0
RECOVERY_SEED185_FRAME_ENTITLEMENT_GAIN,185,recovery,FRAME_ENTITLEMENT_GAIN,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,POLARITY_ONLY,2,0,0.0,2,1.0
RECOVERY_SEED185_FRAME_ENTITLEMENT_GAIN,185,recovery,FRAME_ENTITLEMENT_GAIN,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,PREDICATE_ONLY,2,0,0.0,1,0.5
RECOVERY_SEED185_FRAME_ENTITLEMENT_GAIN,185,recovery,FRAME_ENTITLEMENT_GAIN,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,SUFFICIENCY_ONLY,2,0,0.0,2,1.0
