stage123b_interface,stage122_source_stage121_family,stage122_variant,gold_label,correct_SUPPORT,correct_REFUTE,correct_NE,false_NE_SUPPORT,false_NE_REFUTE,false_entitlement,SUPPORT_to_REFUTE,REFUTE_to_SUPPORT,other,total,failure_total,failure_rate
core_first_context_suffix,long_discourse_no_temporal,prefix_only,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,long_discourse_no_temporal,prefix_plus_core,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,long_discourse_no_temporal,prefix_separator_core,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,long_neutral_no_order,core_only,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,long_neutral_no_order,core_plus_suffix,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,long_neutral_no_order,core_with_neutral_marker,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,long_neutral_no_order,original_control,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,long_neutral_no_order,prefix_only,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,long_neutral_no_order,prefix_plus_core,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,long_neutral_no_order,prefix_separator_core,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,old_before_prefix,core_only,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,old_before_prefix,core_plus_suffix,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,old_before_prefix,core_with_neutral_marker,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,old_before_prefix,original_control,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,old_before_prefix,prefix_only,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,old_before_prefix,prefix_plus_core,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,old_before_prefix,prefix_separator_core,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,original_control,core_only,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,original_control,core_plus_suffix,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,original_control,core_with_neutral_marker,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,original_control,original_control,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,original_control,prefix_plus_core,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,original_control,prefix_separator_core,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,short_neutral_fragment,core_only,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,short_neutral_fragment,core_plus_suffix,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,short_neutral_fragment,core_with_neutral_marker,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,short_neutral_fragment,original_control,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,short_neutral_fragment,prefix_only,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_first_context_suffix,short_neutral_fragment,prefix_plus_core,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
