schema_version,source_pair_id,layer_contrast,secondary_layer_index,midpoint_layer_index,endpoint,estimand,secondary_contrast_value,midpoint_contrast_value,cross_layer_difference
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_103,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.08806872367858887,0.019533991813659668,0.0685347318649292
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_104,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.08008050918579102,0.03929316997528076,-0.11937367916107178
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_105,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.004050254821777344,-0.015632033348083496,0.011581778526306152
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_106,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.010350942611694336,0.0005098581314086914,0.009841084480285645
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_107,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.016183137893676758,0.004441976547241211,0.011741161346435547
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_108,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.03992331027984619,0.056373000144958496,-0.016449689865112305
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_109,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.04532647132873535,-0.03955984115600586,0.08488631248474121
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_110,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.14364337921142578,0.05964374542236328,-0.20328712463378906
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_111,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.05868875980377197,0.006827354431152344,-0.06551611423492432
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_112,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.10068738460540771,-0.06950092315673828,0.170188307762146
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_113,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.039949893951416016,-0.12708818912506104,0.16703808307647705
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_114,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.041908979415893555,0.03361845016479492,-0.07552742958068848
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_115,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.08798742294311523,0.017254948616027832,0.0707324743270874
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_116,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.08090424537658691,0.04074966907501221,-0.12165391445159912
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_117,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.0023306608200073242,-0.015443086624145508,0.013112425804138184
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_118,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.0116194486618042,0.0015407800674438477,0.010078668594360352
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_119,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.014640331268310547,0.0025049448013305664,0.01213538646697998
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_120,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.03872501850128174,0.05733776092529297,-0.01861274242401123
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_121,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.046549439430236816,-0.0394364595413208,0.08598589897155762
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_122,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.14388656616210938,0.05794680118560791,-0.20183336734771729
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_123,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.05859363079071045,0.011827230453491211,-0.07042086124420166
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_124,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.09984147548675537,-0.06839621067047119,0.16823768615722656
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_125,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.037384867668151855,-0.12752044200897217,0.16490530967712402
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_126,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.04092967510223389,0.03381061553955078,-0.07474029064178467
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_127,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.0891028642654419,0.019353270530700684,0.06974959373474121
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_128,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.07980966567993164,0.040283203125,-0.12009286880493164
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_129,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.0042858123779296875,-0.0168532133102417,0.012567400932312012
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_130,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.0098801851272583,0.0001533031463623047,0.009726881980895996
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_131,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.017929792404174805,0.0026398897171020508,0.015289902687072754
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_132,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.04055225849151611,0.056090712547302246,-0.015538454055786133
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_133,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.045128583908081055,-0.03895711898803711,0.08408570289611816
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_134,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.14441931247711182,0.05935966968536377,-0.20377898216247559
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_135,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.05736899375915527,0.010496020317077637,-0.06786501407623291
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_136,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.10113525390625,-0.06657230854034424,0.16770756244659424
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_137,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.040198326110839844,-0.1277371644973755,0.16793549060821533
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_138,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.03984522819519043,0.03544211387634277,-0.0752873420715332
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_139,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.08791911602020264,0.019447922706604004,0.06847119331359863
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_140,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.07980823516845703,0.04103517532348633,-0.12084341049194336
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_141,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.0014160871505737305,-0.015431642532348633,0.014015555381774902
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_142,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.010111331939697266,0.0032101869583129883,0.006901144981384277
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_143,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.014359116554260254,0.0014922618865966797,0.012866854667663574
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_144,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.039179205894470215,0.05891013145446777,-0.01973092555999756
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_145,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.04560554027557373,-0.04007863998413086,0.08568418025970459
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_146,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.14327311515808105,0.05764007568359375,-0.2009131908416748
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_147,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.05890798568725586,0.010253071784973145,-0.069161057472229
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_148,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.09886336326599121,-0.0683068037033081,0.16717016696929932
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_149,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.040084123611450195,-0.12942612171173096,0.16951024532318115
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_150,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.03914177417755127,0.0328826904296875,-0.07202446460723877
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_151,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.08824419975280762,0.01901531219482422,0.0692288875579834
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_152,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.08062756061553955,0.03998672962188721,-0.12061429023742676
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_153,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.0047757625579833984,-0.016884803771972656,0.012109041213989258
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_154,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.009456753730773926,0.0004011392593383789,0.009055614471435547
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_155,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.016909480094909668,0.0021314620971679688,0.0147780179977417
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_156,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.04089236259460449,0.05723452568054199,-0.0163421630859375
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_157,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.04527592658996582,-0.039298176765441895,0.08457410335540771
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_158,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.14444732666015625,0.061150193214416504,-0.20559751987457275
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_159,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,-0.057871103286743164,0.009175896644592285,-0.06704699993133545
gen4_name_direct_cross_layer_pair_level_differences_v1,generated_fact_160,5_MINUS_11,5,11,POST4_SPEED,DELTA_NAME,0.10068821907043457,-0.06791889667510986,0.16860711574554443
