gate,threshold,shift,selected_count_mean,selected_count_std,selected_rate_mean,selected_rate_std,overall_accuracy_mean,overall_accuracy_std,overall_macro_f1_mean,overall_macro_f1_std,surface_control_fne_mean,surface_control_fne_std,temporal_erased_fne_mean,temporal_erased_fne_std,sufficiency_control_fe_mean,sufficiency_control_fe_std,frame_location_mismatch_fe_mean,frame_location_mismatch_fe_std,frame_role_mismatch_fe_mean,frame_role_mismatch_fe_std,temporal_mismatch_fe_mean,temporal_mismatch_fe_std,predicate_mismatch_fe_mean,predicate_mismatch_fe_std,keeps_temporal_guard,keeps_predicate_guard,safe_sufficiency,safe_frame_location,safe_frame_role,passes_g1_gate
high_frame_sufficiency,0.70,0.25,86.000000,74.357246,0.252941,0.218698,0.708642,0.064052,0.416491,0.128149,0.383333,0.508363,0.703333,0.397157,0.050000,0.086603,0.633333,0.550757,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_frame_sufficiency,0.70,0.3,86.000000,74.357246,0.252941,0.218698,0.708642,0.064052,0.416491,0.128149,0.383333,0.508363,0.703333,0.397157,0.050000,0.086603,0.633333,0.550757,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_frame_sufficiency,0.70,0.4,86.000000,74.357246,0.252941,0.218698,0.708642,0.064052,0.416491,0.128149,0.383333,0.508363,0.703333,0.397157,0.050000,0.086603,0.633333,0.550757,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_frame_sufficiency,0.80,0,32.000000,29.816103,0.094118,0.087694,0.705556,0.064390,0.412541,0.129083,0.386667,0.506491,0.720000,0.409512,0.050000,0.086603,0.616667,0.539290,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_frame_sufficiency,0.80,0.1,32.000000,29.816103,0.094118,0.087694,0.705556,0.064390,0.412541,0.129083,0.386667,0.506491,0.720000,0.409512,0.050000,0.086603,0.616667,0.539290,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_frame_sufficiency,0.80,0.2,32.000000,29.816103,0.094118,0.087694,0.705556,0.064390,0.412541,0.129083,0.386667,0.506491,0.720000,0.409512,0.050000,0.086603,0.616667,0.539290,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_frame_sufficiency,0.80,0.25,32.000000,29.816103,0.094118,0.087694,0.705556,0.064390,0.412541,0.129083,0.386667,0.506491,0.720000,0.409512,0.050000,0.086603,0.616667,0.539290,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_frame_sufficiency,0.80,0.3,32.000000,29.816103,0.094118,0.087694,0.705556,0.064390,0.412541,0.129083,0.386667,0.506491,0.720000,0.409512,0.050000,0.086603,0.616667,0.539290,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_frame_sufficiency,0.80,0.4,32.000000,29.816103,0.094118,0.087694,0.705556,0.064390,0.412541,0.129083,0.386667,0.506491,0.720000,0.409512,0.050000,0.086603,0.616667,0.539290,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_frame,0.60,0,171.333333,162.531023,0.503922,0.478032,0.705556,0.064390,0.412541,0.129083,0.386667,0.506491,0.720000,0.409512,0.050000,0.086603,0.616667,0.539290,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
