section,system,metric,mean,std,n,formatted
internal_faithfulness,classifier_only,polarity_flip_output_ok_but_internal_bad,5.0,3.0,3,5.000 ± 3.000
internal_faithfulness,balanced_only,entitled_output_count,89.66666666666667,7.767453465154029,3,89.667 ± 7.767
internal_faithfulness,balanced_only,entitled_output_gate_violation_rate,0.12565418679549115,0.012838636218966979,3,0.126 ± 0.013
internal_faithfulness,balanced_only,entitled_output_gate_violations,11.333333333333334,2.0816659994661326,3,11.333 ± 2.082
internal_faithfulness,balanced_only,polarity_flip_internal_ok,0.9,0.04999999999999999,3,0.900 ± 0.050
internal_faithfulness,balanced_only,polarity_flip_output_internal_gap,0.06666666666666665,0.02886751345948128,3,0.067 ± 0.029
internal_faithfulness,balanced_only,polarity_flip_output_ok,0.9666666666666667,0.028867513459481315,3,0.967 ± 0.029
internal_faithfulness,balanced_only,polarity_flip_output_ok_but_internal_bad,1.3333333333333333,0.5773502691896257,3,1.333 ± 0.577
internal_faithfulness,strict_only,entitled_output_count,94.66666666666667,3.511884584284246,3,94.667 ± 3.512
internal_faithfulness,strict_only,entitled_output_gate_violation_rate,0.1254620066650142,0.05402851093209266,3,0.125 ± 0.054
internal_faithfulness,strict_only,entitled_output_gate_violations,12.0,5.5677643628300215,3,12.000 ± 5.568
internal_faithfulness,strict_only,polarity_flip_internal_ok,0.9166666666666666,0.02886751345948125,3,0.917 ± 0.029
internal_faithfulness,strict_only,polarity_flip_output_internal_gap,0.01666666666666668,0.028867513459481315,3,0.017 ± 0.029
internal_faithfulness,strict_only,polarity_flip_output_ok,0.9333333333333332,0.05773502691896256,3,0.933 ± 0.058
internal_faithfulness,strict_only,polarity_flip_output_ok_but_internal_bad,0.3333333333333333,0.5773502691896257,3,0.333 ± 0.577
internal_faithfulness,conservative_balanced_router,entitled_output_count,75.0,3.605551275463989,3,75.000 ± 3.606
internal_faithfulness,conservative_balanced_router,entitled_output_gate_violation_rate,0.0,0.0,3,0.000 ± 0.000
internal_faithfulness,conservative_balanced_router,entitled_output_gate_violations,0.0,0.0,3,0.000 ± 0.000
