scope,intervention_type,metric,mean,std,n,formatted
within_intervention,entity_swap,pearson_predicate_coverage_prob__sufficiency_prob,-0.546672884755612,0.3920834944118912,3,-0.5467 +/- 0.3921
within_intervention,entity_swap,pearson_sufficiency_prob__entitlement_prob,-0.6633383337667941,0.2685485000169623,3,-0.6633 +/- 0.2685
within_intervention,entity_swap,pearson_sufficiency_prob__polarity_margin,-0.2298862615766821,0.656087545685923,3,-0.2299 +/- 0.6561
within_intervention,entity_swap,spearman_entitlement_prob__polarity_margin,0.24001111419838847,0.26667782553821123,3,0.2400 +/- 0.2667
within_intervention,entity_swap,spearman_frame_prob__entitlement_prob,0.8565527461331852,0.08860801780731736,3,0.8566 +/- 0.0886
within_intervention,entity_swap,spearman_frame_prob__polarity_margin,0.19118273594516996,0.22234415921179637,3,0.1912 +/- 0.2223
within_intervention,entity_swap,spearman_frame_prob__predicate_coverage_prob,0.4342502547003797,0.13609103717035928,3,0.4343 +/- 0.1361
within_intervention,entity_swap,spearman_frame_prob__sufficiency_prob,0.1253313150868726,0.20312610882078022,3,0.1253 +/- 0.2031
within_intervention,entity_swap,spearman_max_abs_off_diagonal,0.8934148374548485,0.032725652882318455,3,0.8934 +/- 0.0327
within_intervention,entity_swap,spearman_mean_abs_off_diagonal,0.3596991875775137,0.07260375487037062,3,0.3597 +/- 0.0726
within_intervention,entity_swap,spearman_predicate_coverage_prob__entitlement_prob,0.7877929054366953,0.0954528538862371,3,0.7878 +/- 0.0955
within_intervention,entity_swap,spearman_predicate_coverage_prob__polarity_margin,0.2820598314346578,0.3158999711828446,3,0.2821 +/- 0.3159
within_intervention,entity_swap,spearman_predicate_coverage_prob__sufficiency_prob,-0.07140069384727064,0.16996191516202072,3,-0.0714 +/- 0.1700
within_intervention,entity_swap,spearman_sufficiency_prob__entitlement_prob,0.08969125699112312,0.2157986209505232,3,0.0897 +/- 0.2158
within_intervention,entity_swap,spearman_sufficiency_prob__polarity_margin,0.2574231467986139,0.28986296367696956,3,0.2574 +/- 0.2899
within_intervention,event_swap,n,60.0,0.0,3,60.0000 +/- 0.0000
within_intervention,event_swap,pearson_entitlement_prob__polarity_margin,0.768276135766267,0.11606047556572202,3,0.7683 +/- 0.1161
within_intervention,event_swap,pearson_frame_prob__entitlement_prob,0.9915910647454526,0.011048047742375297,3,0.9916 +/- 0.0110
within_intervention,event_swap,pearson_frame_prob__polarity_margin,0.7754985299234165,0.11966408949322216,3,0.7755 +/- 0.1197
within_intervention,event_swap,pearson_frame_prob__predicate_coverage_prob,0.9011784824065786,0.0966237387115468,3,0.9012 +/- 0.0966
within_intervention,event_swap,pearson_frame_prob__sufficiency_prob,-0.9754373560589785,0.012937755400167752,3,-0.9754 +/- 0.0129
within_intervention,event_swap,pearson_max_abs_off_diagonal,0.9975352873717256,0.0019375041257999883,3,0.9975 +/- 0.0019
within_intervention,event_swap,pearson_mean_abs_off_diagonal,0.8830119081555737,0.07121666216700406,3,0.8830 +/- 0.0712
within_intervention,event_swap,pearson_predicate_coverage_prob__entitlement_prob,0.8991172970627194,0.10027853146274585,3,0.8991 +/- 0.1003
within_intervention,event_swap,pearson_predicate_coverage_prob__polarity_margin,0.7923805295269949,0.15050160966833084,3,0.7924 +/- 0.1505
within_intervention,event_swap,pearson_predicate_coverage_prob__sufficiency_prob,-0.9457933213654828,0.06536837003518461,3,-0.9458 +/- 0.0654
within_intervention,event_swap,pearson_sufficiency_prob__entitlement_prob,-0.983247038971068,0.016314289609286287,3,-0.9832 +/- 0.0163
within_intervention,event_swap,pearson_sufficiency_prob__polarity_margin,-0.797599325728779,0.13080890873700485,3,-0.7976 +/- 0.1308
within_intervention,event_swap,spearman_entitlement_prob__polarity_margin,0.43250903028619064,0.25302133542754124,3,0.4325 +/- 0.2530
within_intervention,event_swap,spearman_frame_prob__entitlement_prob,0.9560062980457534,0.02288272379698322,3,0.9560 +/- 0.0229
within_intervention,event_swap,spearman_frame_prob__polarity_margin,0.36726868574604055,0.2852943286278028,3,0.3673 +/- 0.2853
within_intervention,event_swap,spearman_frame_prob__predicate_coverage_prob,0.3567842919329443,0.14141122195885247,3,0.3568 +/- 0.1414
within_intervention,event_swap,spearman_frame_prob__sufficiency_prob,-0.15735616521715728,0.33216503478574855,3,-0.1574 +/- 0.3322
within_intervention,event_swap,spearman_max_abs_off_diagonal,0.9560062980457534,0.02288272379698322,3,0.9560 +/- 0.0229
within_intervention,event_swap,spearman_mean_abs_off_diagonal,0.4332403686698654,0.17647596850326674,3,0.4332 +/- 0.1765
within_intervention,event_swap,spearman_predicate_coverage_prob__entitlement_prob,0.5596184125219968,0.17695955101527922,3,0.5596 +/- 0.1770
within_intervention,event_swap,spearman_predicate_coverage_prob__polarity_margin,0.4286190608502361,0.2820652174423577,3,0.4286 +/- 0.2821
within_intervention,event_swap,spearman_predicate_coverage_prob__sufficiency_prob,-0.43865836212027487,0.19110656439305265,3,-0.4387 +/- 0.1911
within_intervention,event_swap,spearman_sufficiency_prob__entitlement_prob,-0.20853782009394747,0.3178172711907657,3,-0.2085 +/- 0.3178
within_intervention,event_swap,spearman_sufficiency_prob__polarity_margin,-0.3302580709312373,0.20147414961417268,3,-0.3303 +/- 0.2015
within_intervention,evidence_deletion,n,60.0,0.0,3,60.0000 +/- 0.0000
within_intervention,evidence_deletion,pearson_entitlement_prob__polarity_margin,-0.8368785931799515,0.09350482767965194,3,-0.8369 +/- 0.0935
within_intervention,evidence_deletion,pearson_frame_prob__entitlement_prob,0.428804737522447,0.09426819031248444,3,0.4288 +/- 0.0943
within_intervention,evidence_deletion,pearson_frame_prob__polarity_margin,-0.5091104608822415,0.11245241517863798,3,-0.5091 +/- 0.1125
within_intervention,evidence_deletion,pearson_frame_prob__predicate_coverage_prob,0.21071126956003483,0.15545575966684638,3,0.2107 +/- 0.1555
within_intervention,evidence_deletion,pearson_frame_prob__sufficiency_prob,0.41080145216845665,0.11433947063616304,3,0.4108 +/- 0.1143
within_intervention,evidence_deletion,pearson_max_abs_off_diagonal,0.9995812483966158,0.0007109159525755542,3,0.9996 +/- 0.0007
within_intervention,evidence_deletion,pearson_mean_abs_off_diagonal,0.5697185166687656,0.06328561791696422,3,0.5697 +/- 0.0633
within_intervention,evidence_deletion,pearson_predicate_coverage_prob__entitlement_prob,0.5235939070924133,0.03310611543098903,3,0.5236 +/- 0.0331
within_intervention,evidence_deletion,pearson_predicate_coverage_prob__polarity_margin,-0.42256434121637426,0.18186000729153948,3,-0.4226 +/- 0.1819
within_intervention,evidence_deletion,pearson_predicate_coverage_prob__sufficiency_prob,0.52290623649795,0.032264221539765506,3,0.5229 +/- 0.0323
within_intervention,evidence_deletion,pearson_sufficiency_prob__entitlement_prob,0.9995812483966158,0.0007109159525755542,3,0.9996 +/- 0.0007
within_intervention,evidence_deletion,pearson_sufficiency_prob__polarity_margin,-0.8322329201711716,0.10081754504323637,3,-0.8322 +/- 0.1008
within_intervention,evidence_deletion,spearman_entitlement_prob__polarity_margin,-0.8590349171066037,0.09978594972164438,3,-0.8590 +/- 0.0998
within_intervention,evidence_deletion,spearman_frame_prob__entitlement_prob,0.6674446605538575,0.04687512265938798,3,0.6674 +/- 0.0469
within_intervention,evidence_deletion,spearman_frame_prob__polarity_margin,-0.5841993146244326,0.07806833071679224,3,-0.5842 +/- 0.0781
within_intervention,evidence_deletion,spearman_frame_prob__predicate_coverage_prob,0.0779664220956135,0.26707129809430163,3,0.0780 +/- 0.2671
within_intervention,evidence_deletion,spearman_frame_prob__sufficiency_prob,0.6515143095304251,0.04558325573934938,3,0.6515 +/- 0.0456
within_intervention,evidence_deletion,spearman_max_abs_off_diagonal,0.9984440122256183,0.002262087517315655,3,0.9984 +/- 0.0023
within_intervention,evidence_deletion,spearman_mean_abs_off_diagonal,0.6262486723275436,0.05554500761315109,3,0.6262 +/- 0.0555
within_intervention,evidence_deletion,spearman_predicate_coverage_prob__entitlement_prob,0.5334008028362649,0.07719148543104447,3,0.5334 +/- 0.0772
within_intervention,evidence_deletion,spearman_predicate_coverage_prob__polarity_margin,-0.3782355113940539,0.18046017318528348,3,-0.3782 +/- 0.1805
within_intervention,evidence_deletion,spearman_predicate_coverage_prob__sufficiency_prob,0.5345122170134099,0.07562843878779955,3,0.5345 +/- 0.0756
within_intervention,evidence_deletion,spearman_sufficiency_prob__entitlement_prob,0.9984440122256183,0.002262087517315655,3,0.9984 +/- 0.0023
within_intervention,evidence_deletion,spearman_sufficiency_prob__polarity_margin,-0.8546633324071502,0.10670772684375242,3,-0.8547 +/- 0.1067
within_intervention,evidence_truncation,n,60.0,0.0,3,60.0000 +/- 0.0000
