row_type,intervention_type,target,score,metric,mean,std,n,formatted,state_summary
opportunity,evidence_deletion,not_applicable,not_applicable,gold_NOT_ENTITLED,60.0,0.0,3,60.0000 +/- 0.0000,not_applicable
opportunity,evidence_deletion,not_applicable,not_applicable,gold_REFUTE,0.0,0.0,3,0.0000 +/- 0.0000,not_applicable
opportunity,evidence_deletion,not_applicable,not_applicable,gold_SUPPORT,0.0,0.0,3,0.0000 +/- 0.0000,not_applicable
opportunity,evidence_deletion,not_applicable,not_applicable,mean_entitlement_fail_score,0.9994526541704545,7.828463238513547e-05,3,0.9995 +/- 0.0001,not_applicable
opportunity,evidence_deletion,not_applicable,not_applicable,mean_entitlement_prob,0.0005473458295455202,7.828463238513296e-05,3,0.0005 +/- 0.0001,not_applicable
opportunity,evidence_deletion,not_applicable,not_applicable,mean_frame_fail_score,0.007972751723395453,0.0019460458615268767,3,0.0080 +/- 0.0019,not_applicable
opportunity,evidence_deletion,not_applicable,not_applicable,mean_frame_prob,0.9920272482766045,0.001946045861526849,3,0.9920 +/- 0.0019,not_applicable
opportunity,evidence_deletion,not_applicable,not_applicable,mean_polarity_margin,-4.511382404963175,0.14337827257182104,3,-4.5114 +/- 0.1434,not_applicable
opportunity,evidence_deletion,not_applicable,not_applicable,mean_polarity_weak_score,4.511382404963175,0.14337827257182104,3,4.5114 +/- 0.1434,not_applicable
opportunity,evidence_deletion,not_applicable,not_applicable,mean_predicate_coverage_prob,0.9952937470542059,0.001098680161330678,3,0.9953 +/- 0.0011,not_applicable
opportunity,evidence_deletion,not_applicable,not_applicable,mean_predicate_fail_score,0.004706252945794,0.0010986801613307009,3,0.0047 +/- 0.0011,not_applicable
opportunity,evidence_deletion,not_applicable,not_applicable,mean_sufficiency_fail_score,0.9994460412344779,7.753500639720107e-05,3,0.9994 +/- 0.0001,not_applicable
opportunity,evidence_deletion,not_applicable,not_applicable,mean_sufficiency_prob,0.0005539587655221112,7.753500639721253e-05,3,0.0006 +/- 0.0001,not_applicable
opportunity,evidence_deletion,not_applicable,not_applicable,n,60.0,0.0,3,60.0000 +/- 0.0000,not_applicable
opportunity,evidence_deletion,not_applicable,not_applicable,not_entitled_recall,1.0,0.0,3,1.0000 +/- 0.0000,not_applicable
opportunity,evidence_deletion,not_applicable,not_applicable,opportunity_rate,0.0,0.0,3,0.0000 +/- 0.0000,not_applicable
opportunity,evidence_deletion,not_applicable,not_applicable,pred_NOT_ENTITLED,60.0,0.0,3,60.0000 +/- 0.0000,not_applicable
opportunity,evidence_deletion,not_applicable,not_applicable,pred_REFUTE,0.0,0.0,3,0.0000 +/- 0.0000,not_applicable
opportunity,evidence_deletion,not_applicable,not_applicable,pred_SUPPORT,0.0,0.0,3,0.0000 +/- 0.0000,not_applicable
