threshold,system,intervention_type,metric,mean,std,n,formatted
0.3,conservative_balanced_router,evidence_deletion,raw_classifier_pairwise_success_rate,1.0,0.0,3,1.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,refute_precision_gain,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,refute_precision_post_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,refute_precision_pre_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,refute_recall_drop,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,refute_recall_post_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,refute_recall_pre_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,routed_REFUTE_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,routed_SUPPORT_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,routed_accuracy,1.0,0.0,3,1.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,routed_entitled_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,routed_macro_f1,0.3333333333333333,0.0,3,0.333 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,router_pairwise_success_count,60.0,0.0,3,60.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,router_pairwise_success_rate,1.0,0.0,3,1.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,self_routed_balanced_pairwise_success_count,60.0,0.0,3,60.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,self_routed_balanced_pairwise_success_rate,1.0,0.0,3,1.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,self_routed_classifier_pairwise_success_count,60.0,0.0,3,60.000 +/- 0.000
